Course Name,Pass Rate,Exam vs Individual Coursework vs Group Coursework,Number of assessments,Instructor Rating,Topics of Interest,Assessment Strengths & Weaknesses,Popularity,Gender distribution,Credits,Hours Per Week,Course Code
Introduction to Quantum Computing,85.2,0.7:0.2:0.1,4,92.1,"Quantum Algorithms; Qubit Manipulation; Quantum Gates; Superposition; Entanglement; Quantum Teleportation; Quantum Cryptography; Quantum Error Correction; NISQ; Quantum Supremacy; Quantum Simulation; Quantum Machine Learning; Quantum Chemistry; Quantum Optimization; Quantum Finance; Quantum Hardware; Quantum Software; Quantum Information Theory; Quantum Complexity Theory; Quantum Measurement; Quantum Sensing; Quantum Metrology; Quantum Communication; Quantum Computing Paradigms; Quantum Annealing; Topological Quantum Computing; Quantum Algorithms for Machine Learning; Quantum Key Distribution; Quantum Random Number Generation; Quantum Walks; Quantum Search Algorithms; Quantum Fourier Transform; Quantum Phase Estimation; Quantum Machine Learning Libraries (Qiskit, Cirq, PennyLane); Quantum Software Development Kits; Quantum Cloud Platforms; Quantum Processor Architectures; Superconducting Qubits; Trapped Ion Qubits; Photonic Qubits; Quantum Error Mitigation; Fault-Tolerant Quantum Computing; Quantum Volume; Quantum Advantage; Quantum Resource Estimation; Quantum Algorithm Design; Quantum Circuit Design; Quantum Programming Languages; Quantum Information Science; Quantum Physics; Quantum Mechanics; Linear Algebra; Machine Learning; Artificial Intelligence", "exam:0.8,individual work:0.9,group work:0.2",78.5,60:40,20,6,INFR08029
Advanced Data Structures and Algorithms,78.9,0.6:0.3:0.1,5,88.5,"Sorting Algorithms; Searching Algorithms; Graph Algorithms; Dynamic Programming; Greedy Algorithms; Divide and Conquer; Hashing; Trees (Binary, AVL, Red-Black, B-Trees); Heaps (Binary, Fibonacci); Linked Lists; Stacks; Queues; String Algorithms (Knuth-Morris-Pratt, Boyer-Moore); Computational Geometry; Network Flow; NP-Completeness; Approximation Algorithms; Randomized Algorithms; Amortized Analysis; Advanced Data Structures; Parallel Algorithms; External Memory Algorithms; Cache-Oblivious Algorithms; Succinct Data Structures; Tries; Bloom Filters; Skip Lists; Disjoint Sets; Minimum Spanning Trees; Shortest Path Algorithms (Dijkstra, Bellman-Ford, Floyd-Warshall); Maximum Flow Algorithms; String Matching; Pattern Recognition; Data Compression; Huffman Coding; Lempel-Ziv; Burrows-Wheeler Transform; Computational Complexity; Algorithm Design Techniques; Backtracking; Branch and Bound; Data Structures for Databases; Data Structures for Graphics; Data Structures for Networks; Algorithm Analysis; Asymptotic Notation; Recursion; Master Theorem; Data Structures; Algorithms; Computer Science; Theory of Computation", "exam:0.7,individual work:0.8,group work:0.3",85.2,55:45,25,8,INFR08029
Machine Learning Fundamentals,92.3,0.5:0.4:0.1,6,95.0,"Supervised Learning; Unsupervised Learning; Reinforcement Learning; Linear Regression; Logistic Regression; Support Vector Machines (SVMs); Decision Trees; Random Forests; Gradient Boosting (XGBoost, LightGBM, CatBoost); Neural Networks; Convolutional Neural Networks (CNNs); Recurrent Neural Networks (RNNs, LSTMs, GRUs); Deep Learning; Clustering (K-Means, DBSCAN, Hierarchical); Dimensionality Reduction (PCA, t-SNE, UMAP); Feature Engineering; Model Evaluation (Accuracy, Precision, Recall, F1-score, ROC AUC); Cross-Validation; Hyperparameter Tuning; Bias-Variance Tradeoff; Ensemble Methods; Bagging; Boosting; Stacking; Regularization (L1, L2); Optimization Algorithms (Gradient Descent, Adam, SGD); Bayesian Methods; Gaussian Processes; Kernel Methods; Anomaly Detection; Recommender Systems; Natural Language Processing (NLP); Computer Vision; Time Series Analysis; Feature Selection; Model Interpretation; Explainable AI (XAI); Deep Learning Frameworks (TensorFlow, PyTorch, Keras); Machine Learning Libraries (Scikit-learn); Data Mining; Statistical Modeling; Data Science; Big Data; Artificial Intelligence; Pattern Recognition", "exam:0.6,individual work:0.9,group work:0.4",90.8,52:48,30,10,INFR08029
Introduction to Database Systems,81.5,0.7:0.2:0.1,4,83.7,"Relational Model; SQL; Database Design; Normalization (1NF, 2NF, 3NF, BCNF); Transactions; Concurrency Control; Query Optimization; Indexing; Data Warehousing; Data Mining; NoSQL Databases (MongoDB, Cassandra, Redis); Distributed Databases; Database Security; Database Administration; Entity-Relationship Modeling; Relational Algebra; Tuple Relational Calculus; Domain Relational Calculus; Data Integrity; Data Consistency; Big Data; Data Lakes; Data Pipelines; ETL Processes; OLAP; OLTP; Database Performance Tuning; Query Processing; Database Architecture; SQL Server; MySQL; PostgreSQL; Oracle Database; Database Management Systems (DBMS); Data Modeling; Database Systems; Information Retrieval; Data Science; Computer Science; Cloud Databases (AWS RDS, Azure SQL Database, Google Cloud SQL); Database Scalability; High Availability; Disaster Recovery", "exam:0.8,individual work:0.7,group work:0.2",76.3,63:37,20,6,INFR08029
Software Engineering Principles,75.4,0.4:0.4:0.2,7,80.2,"Agile Development; Waterfall Model; Scrum; Kanban; Object-Oriented Programming; Design Patterns (Singleton, Factory, Observer, etc.); Software Testing (Unit Testing, Integration Testing, System Testing, Acceptance Testing); Software Architecture (Microservices, Monolithic, MVC); Requirements Engineering; Software Maintenance; Software Project Management; Version Control (Git); Continuous Integration/Continuous Deployment (CI/CD); Code Reviews; Debugging; Refactoring; Software Security; Software Quality Assurance; User Interface (UI) Design; User Experience (UX) Design; Software Development Life Cycle (SDLC); DevOps; Test-Driven Development (TDD); Behavior-Driven Development (BDD); Software Documentation; Software Metrics; Code Complexity; Software Reliability; Software Reusability; Software Design; Software Construction; Software Verification and Validation; Software Evolution; Software Process Improvement; Software Configuration Management; Agile Methodologies; Software Engineering; Computer Science; Programming; Software Development; Project Management", "exam:0.5,individual work:0.8,group work:0.7",88.9,48:52,35,12,INFR08029
Computer Networks,88.1,0.6:0.3:0.1,5,91.8,"TCP/IP Model; OSI Model; Network Protocols (HTTP, HTTPS, TCP, UDP, IP, DNS, SMTP, FTP); Routing; Switching; Network Security (Firewalls, Intrusion Detection Systems, VPNs); Wireless Networks (Wi-Fi, Bluetooth, Cellular); Network Performance; Network Management; Cloud Networking; Software Defined Networking (SDN); Network Function Virtualization (NFV); Internet of Things (IoT); Cybersecurity; Cryptography; Network Forensics; Network Troubleshooting; Network Design; Data Centers; Network Virtualization; Network Layers (Physical, Data Link, Network, Transport, Session, Presentation, Application); Network Topologies (Bus, Star, Ring, Mesh); Network Addressing (IPv4, IPv6); Subnetting; Routing Protocols (RIP, OSPF, BGP); Network Services (DHCP, NAT); Network Monitoring; Network Security Protocols (SSL/TLS, IPsec); Wireless Security (WEP, WPA, WPA2, WPA3); Network Attacks (DoS, DDoS, Man-in-the-Middle); Network Simulation; Network Programming; Socket Programming; Computer Networks; Networking; Data Communication; Information Technology; Cybersecurity", "exam:0.7,individual work:0.8,group work:0.3",82.7,58:42,25,8,INFR08029
Operating Systems Concepts,79.6,0.8:0.1:0.1,4,86.9,"Process Management; Memory Management; File Systems; I/O Systems; Virtual Memory; Scheduling Algorithms (FIFO, Round Robin, Priority, Shortest Job First); Deadlocks; Concurrency; Synchronization (Semaphores, Mutexes, Monitors); Distributed Systems; Security; Virtualization; Kernel Design; System Calls; Shell Scripting; Command-Line Interface; Device Drivers; Operating System Security; Embedded Systems; Real-Time Operating Systems; Process Synchronization; Inter-Process Communication (IPC); Memory Allocation; Paging; Segmentation; File System Organization; File System Interface; Disk Scheduling; I/O Management; System Booting; System Administration; Linux; Windows; macOS; Unix; Operating System Design; Kernel Modules; Security Hardening; Virtual Machines; Containers (Docker, Kubernetes); Cloud Computing; Operating Systems; Computer Science; Systems Programming; Computer Architecture", "exam:0.9,individual work:0.6,group work:0.2",74.1,65:35,20,6,INFR08029
Artificial Intelligence,90.5,0.5:0.4:0.1,6,93.3,"Search Algorithms (BFS, DFS, A*); Knowledge Representation (Propositional Logic, First-Order Logic); Logic Programming (Prolog); Machine Learning; Natural Language Processing (NLP); Computer Vision; Robotics; Expert Systems; Game Playing (Minimax, Alpha-Beta Pruning); Planning; Constraint Satisfaction; Bayesian Networks; Markov Decision Processes (MDPs); Deep Learning; Neural Networks; Reinforcement Learning; Evolutionary Algorithms; Swarm Intelligence; Fuzzy Logic; AI Ethics; Heuristic Search; Adversarial Search; Game Theory; Knowledge-Based Systems; Natural Language Understanding; Natural Language Generation; Machine Translation; Speech Recognition; Image Recognition; Object Detection; Pattern Recognition; Robotics Control; AI Planning and Scheduling; Uncertainty in AI; Probabilistic Reasoning; Bayesian Inference; AI Programming; AI Applications; Artificial Intelligence; Machine Learning; Computer Science; Cognitive Science", "exam:0.6,individual work:0.9,group work:0.4",89.5,53:47,30,10,INFR08029
Web Development Technologies,84.7,0.3:0.5:0.2,8,89.6,"HTML; CSS; JavaScript; Front-End Frameworks (React, Angular, Vue.js); Back-End Frameworks (Node.js, Django, Ruby on Rails, Spring); Databases (SQL, NoSQL); RESTful APIs; Web Security (Authentication, Authorization, Cross-Site Scripting (XSS), SQL Injection); Responsive Design; Web Performance Optimization; Web Accessibility; Server-Side Scripting; Client-Side Scripting; Web Sockets; Web Services; Cloud Deployment (AWS, Azure, Google Cloud); Version Control (Git); UI/UX Design; Web Servers (Apache, Nginx); JavaScript Libraries (jQuery); Web Frameworks; Front-End Development; Back-End Development; Full-Stack Development; Web Design; Web Programming; Web Applications; Mobile Web Development; Progressive Web Apps (PWAs); Single-Page Applications (SPAs); Content Management Systems (CMS); E-commerce; Web Analytics; Search Engine Optimization (SEO); Web Security Best Practices; Web Standards; Web Hosting; Domain Names; Web Development; Software Engineering; Computer Science; Information Technology", "exam:0.4,individual work:0.8,group work:0.6",92.0,49:51,40,12,INFR08029
Data Science and Analytics,87.2,0.4:0.5:0.1,7,91.1,"Statistical Analysis; Data Visualization (Matplotlib, Seaborn, Plotly); Data Mining; Machine Learning; Predictive Modeling; Data Wrangling; Data Cleaning; Data Transformation; Big Data Analytics; Hadoop; Spark; Python (Pandas, NumPy, Scikit-learn); R; SQL; Data Storytelling; Business Intelligence; Data Ethics; Data Governance; Cloud Computing; Time Series Analysis; Exploratory Data Analysis (EDA); Statistical Inference; Hypothesis Testing; Regression Analysis; Classification; Clustering; Dimensionality Reduction; Feature Engineering; Model Selection; Model Evaluation; Data Visualization Libraries; Big Data Technologies; Data Science Tools; Data Analysis Techniques; Data Mining Algorithms; Statistical Programming; Data Modeling; Data Warehousing; Data Lakes; Business Analytics; Data-Driven Decision Making; Data Science; Statistics; Machine Learning; Big Data; Computer Science; Artificial Intelligence", "exam:0.5,individual work:0.9,group work:0.3",86.8,56:44,35,10,INFR08029
