Course Name,Pass Rate,Exam vs Individual Coursework vs Group Coursework,Number of assessments,Instructor Rating,Topics of Interest,Assessment Strengths & Weaknesses,Popularity,Gender distribution,How many credit/hours you have to spend per week,Course Code
Introduction to Quantum Computing,85.2,0.7:0.2:0.1,4,92.1,Quantum Algorithms; Qubit Manipulation; Quantum Gates; Superposition; Entanglement; Quantum Teleportation; Quantum Cryptography; Quantum Error Correction; Noisy Intermediate-Scale Quantum (NISQ); Quantum Supremacy; Quantum Simulation; Quantum Machine Learning; Quantum Chemistry; Quantum Optimization; Quantum Finance; Quantum Hardware; Quantum Software; Quantum Information Theory; Quantum Complexity Theory; Quantum Measurement; Quantum Sensing; Quantum Metrology; Quantum Communication,"exam:0.8,individual work:0.9,group work:0.2",78.5,60:40,20/6,INFR08029
Advanced Data Structures and Algorithms,78.9,0.6:0.3:0.1,5,88.5,"Sorting Algorithms; Searching Algorithms; Graph Algorithms; Dynamic Programming; Greedy Algorithms; Divide and Conquer; Hashing; Trees; Heaps; Linked Lists; Stacks; Queues; String Algorithms; Computational Geometry; Network Flow; NP-Completeness; Approximation Algorithms; Randomized Algorithms; Amortized Analysis; Advanced Data Structures (e.g., B-trees, Fibonacci heaps); Parallel Algorithms","exam:0.7,individual work:0.8,group work:0.3",85.2,55:45,15/5,INFR08029
Machine Learning Fundamentals,92.3,0.5:0.4:0.1,6,95,Supervised Learning; Unsupervised Learning; Reinforcement Learning; Linear Regression; Logistic Regression; Support Vector Machines (SVMs); Decision Trees; Random Forests; Gradient Boosting; Neural Networks; Convolutional Neural Networks (CNNs); Recurrent Neural Networks (RNNs); Deep Learning; Clustering; Dimensionality Reduction; Principal Component Analysis (PCA); Feature Engineering; Model Evaluation; Cross-Validation; Hyperparameter Tuning; Bias-Variance Tradeoff,"exam:0.6,individual work:0.9,group work:0.4",90.8,52:48,25/7,INFR08029
Introduction to Database Systems,81.5,0.7:0.2:0.1,4,83.7,Relational Model; SQL; Database Design; Normalization; Transactions; Concurrency Control; Query Optimization; Indexing; Data Warehousing; Data Mining; NoSQL Databases; Distributed Databases; Database Security; Database Administration; Entity-Relationship Modeling; Relational Algebra; Tuple Relational Calculus; Domain Relational Calculus; Data Integrity; Data Consistency; Big Data,"exam:0.8,individual work:0.7,group work:0.2",76.3,63:37,18/5,INFR08029
Software Engineering Principles,75.4,0.4:0.4:0.2,7,80.2,Agile Development; Waterfall Model; Scrum; Kanban; Object-Oriented Programming; Design Patterns; Software Testing; Software Architecture; Requirements Engineering; Software Maintenance; Software Project Management; Version Control (Git); Continuous Integration/Continuous Deployment (CI/CD); Code Reviews; Debugging; Refactoring; Software Security; Software Quality Assurance; User Interface (UI) Design; User Experience (UX) Design,"exam:0.5,individual work:0.8,group work:0.7",88.9,48:52,22/7,INFR08029
Computer Networks,88.1,0.6:0.3:0.1,5,91.8,"TCP/IP Model; OSI Model; Network Protocols (HTTP, TCP, UDP, IP); Routing; Switching; Network Security; Wireless Networks; Network Performance; Network Management; Cloud Networking; Software Defined Networking (SDN); Network Function Virtualization (NFV); Internet of Things (IoT); Cybersecurity; Cryptography; Network Forensics; Network Troubleshooting; Network Design; Data Centers; Network Virtualization","exam:0.7,individual work:0.8,group work:0.3",82.7,58:42,16/5,INFR08029
Operating Systems Concepts,79.6,0.8:0.1:0.1,4,86.9,Process Management; Memory Management; File Systems; I/O Systems; Virtual Memory; Scheduling Algorithms; Deadlocks; Concurrency; Synchronization; Distributed Systems; Security; Virtualization; Kernel Design; System Calls; Shell Scripting; Command-Line Interface; Device Drivers; Operating System Security; Embedded Systems; Real-Time Operating Systems,"exam:0.9,individual work:0.6,group work:0.2",74.1,65:35,28/8,INFR08029
Artificial Intelligence,90.5,0.5:0.4:0.1,6,93.3,Search Algorithms; Knowledge Representation; Logic Programming; Machine Learning; Natural Language Processing; Computer Vision; Robotics; Expert Systems; Game Playing; Planning; Constraint Satisfaction; Bayesian Networks; Markov Decision Processes; Deep Learning; Neural Networks; Reinforcement Learning; Evolutionary Algorithms; Swarm Intelligence; Fuzzy Logic; AI Ethics,"exam:0.6,individual work:0.9,group work:0.4",89.5,53:47,14/4,INFR08029
Web Development Technologies,84.7,0.3:0.5:0.2,8,89.6,"HTML; CSS; JavaScript; Front-End Frameworks (React, Angular, Vue.js); Back-End Frameworks (Node.js, Django, Ruby on Rails); Databases (SQL, NoSQL); RESTful APIs; Web Security; Responsive Design; Web Performance Optimization; Web Accessibility; Server-Side Scripting; Client-Side Scripting; Web Sockets; Web Services; Cloud Deployment; Version Control (Git); UI/UX Design","exam:0.4,individual work:0.8,group work:0.6",92,49:51,21/6,INFR08029
Data Science and Analytics,87.2,0.4:0.5:0.1,7,91.1,"Statistical Analysis; Data Visualization; Data Mining; Machine Learning; Predictive Modeling; Data Wrangling; Data Cleaning; Data Transformation; Big Data Analytics; Hadoop; Spark; Python (Pandas, NumPy, Scikit-learn); R; SQL; Data Storytelling; Business Intelligence; Data Ethics; Data Governance; Cloud Computing; Time Series Analysis","exam:0.5,individual work:0.9,group work:0.3",86.8,56:44,17/5,INFR08029
Digital Logic Design, 76.8, 0.7:0.2:0.1, 5, 82.5,Boolean Algebra; Logic Gates; Combinational Circuits; Sequential Circuits; Flip-Flops; Registers; Counters; Memory Units; Finite State Machines; Digital System Design; Verilog; VHDL; FPGA Programming; Microprocessors; Microcontrollers; Embedded Systems; Computer Architecture; Digital Signal Processing; ASIC Design; Circuit Simulation,"exam:0.8,individual work:0.7,group work:0.4", 72.3, 68:32,26/7,INFR08029
Embedded Systems Programming, 83.5, 0.5:0.4:0.1, 6, 88.9,"Microcontrollers; C Programming; Assembly Language; RTOS; Interrupts; Timers; Peripherals; Communication Protocols (UART, SPI, I2C); Embedded Linux; Device Drivers; Firmware Development; Debugging; Hardware Interfacing; Power Management; Real-Time Systems; IoT Devices; Robotics; Sensor Integration; Actuator Control; Embedded Security","exam:0.6,individual work:0.8,group work:0.5", 79.1, 59:41,15/4,INFR08029
Signals and Systems, 71.2, 0.8:0.1:0.1, 4, 78.3,Continuous-Time Signals; Discrete-Time Signals; Fourier Series; Fourier Transform; Laplace Transform; Z-Transform; Convolution; Filtering; Sampling; Modulation; Demodulation; System Analysis; Linear Time-Invariant (LTI) Systems; Stability; Frequency Response; Digital Signal Processing (DSP); Filter Design; Image Processing; Audio Processing; Communication Systems,"exam:0.9,individual work:0.6,group work:0.2", 68.5, 70:30,23/7,INFR08029
